family_id,definition_id,attempt_id,state,threshold,lookback,semantic_contract_hash,feature_contract_hash,generator_contract_hash,nearest_prior_families,attempted_before_generation,event_count,zero_count_branch,killed_branch,kill_reason
KDA01,kda01_primary_efficient,kda01_primary_efficient,crowding_with_efficient_price_progress,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,412088,False,False,
KDA01,kda01_primary_deteriorating,kda01_primary_deteriorating,crowding_with_deteriorating_price_progress,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,682288,False,False,
KDA01,kda01_primary_failure,kda01_primary_failure,completed_failure_after_crowding_deterioration,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,163976,False,False,
KDA01,kda01_robust_efficient,kda01_robust_efficient,crowding_with_efficient_price_progress,percentile_95,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,451115,False,False,
KDA01,kda01_robust_deteriorating,kda01_robust_deteriorating,crowding_with_deteriorating_price_progress,percentile_95,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,757149,False,False,
KDA01,kda01_robust_failure,kda01_robust_failure,completed_failure_after_crowding_deterioration,percentile_95,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,FORUM H01/C04; RFBS; Backside; failed-breakdown; C01,True,172499,False,False,
KDA02,kda02_primary_active_purge,kda02_primary_active_purge,active_liquidation_purge,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,delayed-flush reclaim; PD04; FORUM H04; RFBS/Backside,True,21241,False,False,
KDA02,kda02_primary_completed,kda02_primary_completed,completed_purge_reclaim_or_failure,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,delayed-flush reclaim; PD04; FORUM H04; RFBS/Backside,True,43946,False,False,
KDA02,kda02_primary_oi_vacuum,kda02_primary_oi_vacuum,OI_vacuum_with_modest_price_displacement,robust_z_2,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,delayed-flush reclaim; PD04; FORUM H04; RFBS/Backside,True,1176354,False,False,
KDA02,kda02_robust_active_purge,kda02_robust_active_purge,active_liquidation_purge,percentile_95,prior_60_calendar_days,289368124d12a52b255f9905c7c7520b4aeb764c0d0ae5f20acd3214a2aeea60,4673ff11b8e0ad12bca4552780848b2597f68f54841858376cdfa30f99e193b4,c285af918e317722e91e3c1df5e44eb48abf27c97fedfe251b0881e3aa8f0017,delayed-flush reclaim; PD04; FORUM H04; RFBS/Backside,True,3089,False,False,
